"Source:","C:\Users\dcmce\OneDrive\Documents\GitHub\RamanSpectrometer_Hardware\Raman Spectrometer Board\Hardware\Raman_Spectrometer_Board.kicad_sch"
"Date:","9/24/2023 3:04:47 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","16"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"1","1","C1","0.1uF","Device:C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","","",""
"2","2","C2, C3","10µF","Device:C","","~","","","","",""
"3","2","Conn1, Conn2","AndersonPP","MRDT_Connectors:AndersonPP","","","","","","",""
"4","1","J1","RJ45_LED_Shielded","Connector:RJ45_LED_Shielded","","~","","","","",""
"5","1","J2","Conn_01x05_Pin","Connector:Conn_01x05_Pin","","~","","","","",""
"6","1","J3","Conn_01x03_Pin","Connector:Conn_01x03_Pin","","~","","","","",""
"7","2","Q1, Q2","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","","","",""
"8","2","R1, R2","4.7kΩ","Device:R","","~","","","","",""
"9","1","R3","17Ω","Device:R","","~","","","","",""
"10","1","R4","24Ω","Device:R","","~","","","","",""
"11","1","U1","Teensy4.1_DEV-16771","MRDT_Shields:Teensy4.1_DEV-16771","MRDT_Shields:Teensy_4_1_Ethernet","","","SparkFun Electronics","4.07mm","4.1","Manufacturer recommendations"
"12","1","U2","OKI","MRDT_Devices:OKI","MRDT_Devices:OKI_Horizontal","","","","","",""
